,md,inc,azi,x,y,z,is_inflection,ti,total_ti
131,9485.0,33.16,341.07,-54.9093,-499.76,9424.4398,False,0.0,27.263826252354644
132,9532.0,36.88,348.59,-28.9045,-506.7258,9462.9419,False,0.0,27.263826252354644
133,9572.0,38.64,353.42,-4.7254,-510.5325,9494.571,True,0.00015009362600637566,29.400408273674767
134,9622.0,40.88,353.23,27.0343,-514.2506,9533.0051,False,0.0,29.400408273674767
135,9668.0,44.08,348.14,57.6581,-519.3163,9566.9365,False,0.0,29.400408273674767
136,9719.0,48.22,344.18,93.337,-528.1518,9602.2675,False,0.0,29.400408273674767
137,9765.0,50.74,342.61,126.8398,-538.152,9632.153,True,9.81434325997288e-05,31.077803749975864
138,9801.0,54.53,343.69,154.2199,-546.4375,9653.9975,True,0.00019235235606807066,33.55616582805974
139,9829.0,58.32,342.26,176.5193,-553.2724,9669.48,False,0.0,33.55616582805974
140,9860.0,62.44,339.45,201.9641,-562.1201,9684.8006,True,0.00029126836672377365,37.28632024912219
141,9894.0,68.57,342.65,231.2149,-572.1412,9698.8938,True,0.0005844080551167252,44.72215306586587
142,9922.0,72.79,341.06,256.316,-580.3723,9708.1559,True,0.000253460597440025,47.95789604221242
143,9952.0,75.54,341.34,283.6352,-589.672,9716.3411,False,0.0,47.95789604221242
144,9987.0,76.33,343.66,316.0122,-599.8792,9724.8479,False,0.0,47.95789604221242
145,10014.0,79.09,348.52,341.6104,-606.2128,9730.5979,True,0.00038099114620404606,52.95575272660668
146,10045.0,84.15,347.76,371.6145,-612.5151,9735.1144,False,0.0,52.95575272660668
147,10137.0,89.89,347.36,461.2951,-632.2992,9739.8952,True,0.0004210669659239219,58.969098524310056
148,10234.0,87.84,346.61,555.7791,-654.1384,9741.8165,True,6.0144317591825924e-05,60.397911756506126
149,10327.0,90.92,347.35,646.3714,-675.0864,9742.8228,False,0.0,60.397911756506126
150,10417.0,95.37,348.66,734.2493,-693.7596,9737.8861,True,0.00027266002161807634,65.2180335190452
151,10515.0,92.66,346.22,829.6523,-715.0183,9731.024,True,0.00016907915373232107,68.1851638959841
152,10607.0,93.71,346.82,918.9779,-736.4308,9725.9125,True,1.8584883632710714e-05,69.1102280759071
153,10701.0,89.39,343.31,1009.7328,-760.6412,9723.3697,True,0.00039287660770237487,75.16264802212234
154,10794.0,89.29,344.03,1098.9745,-786.7881,9724.4409,True,6.424623133938212e-06,75.99129249735527
155,10886.0,90.15,343.05,1187.2012,-812.855,9724.8905,True,2.1503017510582367e-05,77.02115657498082
